gene_symbol	gene_entrez_id	reference_name	cds_start_min	cds_end_max
ACER2	340485	9	19409084	19450635
ACER3	55331	11	76860976	77020326
ACHE	43	7	100890213	100894231
ACIN1	22985	14	23059147	23095285
ACKR1	2532	1	159204959	159206449
ACKR2	1238	3	42864502	42865656
ACKR3	57007	2	236580465	236581553
ACKR4	51554	3	132600397	132601449
ACLY	47	17	41867809	41913872
ACMSD	130013	2	134838682	134901859
ACO1	48	9	32405506	32450110
ACO2	50	22	41469146	41528612
ACOD1	730249	13	76948558	76957984
ACOT1	641371	14	73537421	73543654
ACOT11	26027	1	54548309	54634728
ACOT12	134526	5	81330393	81394113
ACOT13	55856	6	24667263	24701614
ACOT2	10965	14	73569240	73575512
ACOT4	122970	14	73591959	73595653
ACOT6	641372	14	73617174	73619838
ACOT7	11332	1	6264596	6393398
ACOT8	10005	20	45841837	45857314
ACOT9	23597	X	23703893	23743143
ACOX1	51	17	75946747	75979072
ACOX2	8309	3	58505223	58535105
ACOX3	8310	4	8366960	8416520
ACOXL	55289	2	110768389	111117815
ACP1	52	2	264964	277303
ACP2	53	11	47240115	47248788
ACP4	93650	19	50790414	50795157
ACP5	54	19	11575009	11577316
ACP6	51205	1	147647422	147670047
ACP7	390928	19	39085269	39110117
ACPP	55	3	132317456	132367821
ACR	49	22	50738235	50745206
ACRBP	84519	12	6638281	6647365
ACRV1	56	11	125672592	125680779
ACSBG1	23205	15	78171443	78234500
ACSBG2	81616	19	6141543	6190656
ACSF2	80221	17	50426261	50474551
ACSF3	197322	16	89100681	89154206
ACSL1	2180	4	184757124	184803513
ACSL3	2181	2	222908772	222941653
ACSL4	2182	X	109644028	109683485
ACSL5	51703	10	112376309	112427357
ACSL6	23305	5	131954233	132011919
ACSM1	116285	16	20623485	20691187
ACSM2A	123876	16	20460114	20486677
ACSM2B	348158	16	20537257	20564844
ACSM3	6296	16	20770034	20796971
ACSM4	341392	12	7304331	7328372
ACSM5	54988	16	20411484	20440426
ACSM6	142827	10	95194485	95228783
ACSS1	84532	20	25006859	25058101
ACSS2	55902	20	34876645	34927213
ACSS3	79611	12	81078120	81254921
ACTA1	58	1	229431498	229433114
ACTA2	59	10	88935222	88948929
ACTB	60	7	5527747	5529656
ACTBL2	345651	5	57481576	57482706
ACTC1	70	15	34790411	34794807
ACTG1	71	17	81510689	81512353
ACTG2	72	2	73901311	73919574
ACTL10	170487	20	33667497	33668234
ACTL6A	86	3	179563092	179588009
ACTL6B	51412	7	100643245	100656353
ACTL7A	10881	9	108862322	108863629
ACTL7B	10880	9	108854682	108855929
ACTL8	81569	1	17823008	17826518
ACTL9	284382	19	8697450	8698700
ACTN1	87	14	68874858	68979055
ACTN2	88	1	236686673	236762618
ACTN3	89	11	66546510	66563192
ACTN4	81	19	38647745	38729431
ACTR10	55860	14	58200217	58234550
ACTR1A	10121	10	102480862	102502646
ACTR1B	10120	2	97656857	97663889
ACTR2	10097	2	65227909	65268733
ACTR3	10096	2	113890279	113957454
ACTR3B	57180	7	152759882	152854552
ACTR3C	653857	7	150248985	150295295
ACTR5	79913	20	38748478	38771815
ACTR6	64431	12	100200851	100223914
ACTR8	93973	3	53868718	53882100
ACTRT1	139741	X	128051075	128052205
ACTRT2	140625	1	3021686	3022819
ACTRT3	84517	3	169767431	169769519
ACVR1	90	2	157737530	157799492
ACVR1B	91	12	51951743	51994109
ACVR1C	130399	2	157533917	157628643
ACVR2A	92	2	147845152	147927273
ACVR2B	93	3	38454322	38483331
ACVRL1	94	12	51912474	51920892
ACY1	95	3	51984064	51989074
ACY3	91703	11	67642723	67647042
ACYP1	97	14	75053443	75069290
ACYP2	98	2	53973748	54304801
ADA	100	20	44619833	44651606
ADA2	51816	22	17181482	17209676
ADAD1	132612	4	122380069	122429738
ADAD2	161931	16	84191230	84196973
ADAL	161823	15	43335107	43351944
ADAM10	102	15	58597546	58749533
ADAM11	4185	17	44759199	44779753
ADAM12	8038	10	126017278	126388144
ADAM15	8751	1	155051386	155062501
ADAM17	6868	2	9490176	9555604
ADAM18	8749	8	39584622	39729939
ADAM19	8728	5	157480948	157575695
ADAM2	2515	8	39744859	39838184
ADAM20	8748	14	70522576	70524906
ADAM21	8747	14	70457499	70459667
ADAM22	53616	7	87934465	88196490
ADAM23	8745	2	206443866	206617626
ADAM28	10863	8	24294149	24354403
ADAM29	11086	4	174975525	174977987
ADAM30	11085	1	119893963	119896335
ADAM32	203102	8	39107674	39284798
ADAM33	80332	20	3668962	3682003
ADAM7	8756	8	24441108	24508545
ADAM8	101	10	133263155	133276816
ADAM9	8754	8	38997063	39103699
ADAMDEC1	27299	8	24384504	24405297
ADAMTS1	9510	21	26837578	26844953
ADAMTS10	81794	19	8580892	8605709
ADAMTS12	81792	5	33527187	33891855
ADAMTS13	11093	9	133422443	133459179
ADAMTS14	140766	10	70672802	70760852
ADAMTS15	170689	11	130448973	130473820
ADAMTS16	170690	5	5140467	5319137
ADAMTS17	170691	15	99974401	100341898
ADAMTS18	170692	16	77283955	77434694
ADAMTS19	171019	5	129460391	129737217
ADAMTS2	9509	5	179113866	179345327
ADAMTS20	80070	12	43354208	43551920
ADAMTS3	9508	4	72283135	72568761
ADAMTS4	9507	1	161191137	161198626
ADAMTS5	11096	21	26924052	26966390
ADAMTS6	11174	5	65151835	65473672
ADAMTS7	11173	15	78759420	78811219
ADAMTS8	11095	11	130405557	130428285
ADAMTS9	56999	3	64522170	64687656
ADAMTSL1	92949	9	18474232	18908547
ADAMTSL2	9719	9	133536712	133574863
ADAMTSL3	57188	15	83655761	84037824
ADAMTSL4	54507	1	150552288	150560195
ADAMTSL5	339366	19	1506014	1510942
ADAP1	11033	7	898920	955406
ADAP2	55803	17	30922014	30957868
ADAR	103	1	154584805	154608005
ADARB1	104	21	45171656	45225554
ADARB2	105	10	1183192	1737149
ADAT1	23536	16	75600215	75620798
ADAT2	134637	6	143428462	143450657
ADAT3	113179	19	1912047	1913150
ADCK1	57143	14	77818978	77933390
ADCK2	90956	7	140673330	140694802
ADCK5	203054	8	144374095	144393073
ADCY1	107	7	45574543	45713994
ADCY10	55811	1	167809677	167905139
ADCY2	108	5	7396296	7826870
ADCY3	109	2	24819931	24918986
ADCY4	196883	14	24318415	24334651
ADCY5	111	3	123284607	123448544
ADCY6	112	12	48768590	48783433
ADCY7	113	16	50288179	50315504
ADCY8	114	8	130780389	131040332
ADCY9	115	16	3965774	4115441
ADCYAP1	116	18	905386	909634
ADCYAP1R1	117	7	31063264	31106683
ADD1	118	4	2875915	2928522
ADD2	119	2	70663424	70767898
ADD3	120	10	110100653	110133617
ADGRA1	84435	10	133088909	133129510
ADGRA2	25960	8	37797268	37842354
ADGRA3	166647	4	22387704	22515783
ADGRB1	575	8	142464198	142544416
ADGRB2	576	1	31727419	31757220
ADGRB3	577	6	68638675	69388890
ADGRD1	283383	12	130954465	131139262
ADGRE1	2015	19	6887608	6940028
ADGRE2	30817	19	14736235	14776755
ADGRE3	84658	19	14619432	14674769
ADGRE5	976	19	14381523	14408120
ADGRF1	266977	6	47000221	47029060
ADGRF3	165082	2	26309085	26346233
ADGRF4	221393	6	47707245	47718441
ADGRF5	221395	6	46853991	46906761
ADGRG1	9289	16	57650287	57663581
ADGRG2	10149	X	18990863	19068833
ADGRG3	222487	16	57668347	57688460
ADGRG4	139378	X	136308777	136416490
ADGRG5	221188	16	57562093	57575537
ADGRG6	57211	6	142302329	142443514
ADGRG7	84873	3	100609856	100695000
ADGRL1	22859	19	14150872	14183601
ADGRL2	23266	1	81836984	81991144
ADGRL3	23284	4	61497293	62070907
ADGRL4	64123	1	78891153	79006653
ADGRV1	84059	5	90558895	91163899
ADH1A	124	4	99276623	99290913
ADH1B	125	4	99307839	99321330
ADH1C	126	4	99336751	99352674
ADH4	127	4	99124441	99144221
ADH5	128	4	99072416	99088699
ADH6	130	4	99204218	99219151
ADH7	131	4	99413147	99435268
ADHFE1	137872	8	66432516	66468351
ADI1	55256	2	3498962	3519486
ADIG	149685	20	38581250	38586146
ADIPOQ	9370	3	186853058	186854703
ADIPOR1	51094	1	202941572	202951069
ADIPOR2	79602	12	1754343	1786071
ADIRF	10974	10	86968544	86970581
ADK	132	10	74151278	74708444
ADM	133	11	10305700	10306640
ADM2	79924	22	50481847	50482902
ADM5	199800	19	49689837	49690492
ADNP	23394	20	50891404	50903995
ADNP2	22850	18	80117542	80138808
ADO	84890	10	62805059	62805871
ADORA1	134	1	203128841	203165899
ADORA2A	135	22	24433404	24441488
ADORA2B	136	17	15945248	15975341
ADORA3	140	1	111499949	111503353
ADPGK	83440	15	72752340	72783690
ADPRH	141	3	119582169	119587877
ADPRHL1	113622	13	113422821	113453436
ADPRHL2	54936	1	36088904	36093385
ADPRM	56985	17	10704926	10711143
ADRA1A	148	8	26748589	26864968
ADRA1B	147	5	159916905	159972491
ADRA1D	146	20	4221522	4248956
ADRA2A	150	10	111077996	111079393
ADRA2B	151	2	96114796	96116148
ADRA2C	152	4	3766606	3767994
ADRB1	153	10	114044132	114045565
ADRB2	154	5	148826831	148828072
ADRB3	155	8	37964217	37966468
ADRM1	11047	20	62303568	62308760
ADSL	158	22	40346558	40387229
ADSS	159	1	244409585	244451816
ADSSL1	122622	14	104724270	104747002
ADTRP	84830	6	11714477	11778758
AEBP1	165	7	44104665	44114260
AEBP2	121536	12	19439699	19518719
AEN	64782	15	88626209	88630293
AES	166	19	3053818	3062926
AFAP1	60312	4	7763764	7872077
AFAP1L1	134265	5	149271968	149340029
AFAP1L2	84632	10	114296041	114404454
AFDN	4301	6	167827132	167969934
AFF1	4299	4	86948533	87135700
AFF2	2334	X	148501097	148991331
AFF3	3899	2	99551473	100104453
AFF4	27125	5	132881058	132937188
AFG1L	246269	6	108295079	108522424
AFG3L2	10939	18	12329564	12377081
AFM	173	4	73481775	73503069
AFMID	125061	17	78187370	78206936
AFP	174	4	73436262	73455279
AFTPH	54812	2	64551474	64592034
AGA	175	4	177431707	177442374
AGAP1	116987	2	235494686	236124121
AGAP2	116986	12	57726551	57742070
AGAP3	116988	7	151086741	151143942
AGAP4	119016	10	45825914	45847346
AGAP5	729092	10	73674598	73697754
AGAP6	414189	10	49988715	50010185
AGAP9	642517	10	47502151	47523525
AGBL1	123624	15	86079972	87028839
AGBL2	79841	11	47660172	47714649
AGBL3	340351	7	134987933	135135260
AGBL4	84871	1	48534172	50023795
AGBL5	60509	2	27052958	27070262
AGER	177	6	32181142	32184221
AGFG1	3267	2	227472421	227554494
AGFG2	3268	7	100539346	100564990
AGGF1	55109	5	77030766	77063251
AGK	55750	7	141555466	141652923
AGL	178	1	99851042	99921650
AGMAT	79814	1	15573650	15584966
AGMO	392636	7	15201284	15561844
AGO1	26523	1	35883421	35919606
AGO2	27161	8	140532043	140635505
AGO3	192669	1	35931426	36055744
AGO4	192670	1	35808416	35853604
AGPAT1	10554	6	32169275	32171495
AGPAT2	10555	9	136673751	136687356
AGPAT3	56894	21	43959681	43982391
AGPAT4	56895	6	161136539	161232212
AGPAT5	55326	8	6708668	6757387
AGPS	8540	2	177392789	177538194
AGR2	10551	7	16792907	16801795
AGR3	155465	7	16859581	16878617
AGRN	375790	1	1020172	1054980
AGRP	181	16	67482635	67483397
AGT	183	1	230703140	230710849
AGTPBP1	23287	9	85547108	85741961
AGTR1	185	3	148730179	148742114
AGTR2	186	X	116172280	116173371
AGTRAP	57085	1	11736208	11750191
AGXT	189	2	240868865	240878820
AGXT2	64902	5	34998718	35047891
AHCTF1	25909	1	246840805	246931326
AHCY	191	20	34281033	34303269
AHCYL1	10768	1	109985052	110021679
AHCYL2	23382	7	129225076	129427044
AHDC1	27245	1	27547303	27552114
AHI1	54806	6	135285644	135492236
AHNAK	79026	11	62433883	62536097
AHNAK2	113146	14	104938062	104978236
AHR	196	7	17299264	17343063
AHRR	57491	5	304219	434833
AHSA1	10598	14	77458189	77469248
AHSG	197	3	186613141	186620929
AHSP	51327	16	31528139	31528690
AICDA	57379	12	8604283	8612766
AIDA	64853	1	222669892	222712316
AIF1	199	6	31615329	31616899
AIF1L	83543	9	131096629	131120321
AIFM1	9131	X	130129556	130165655
AIFM2	84883	10	70114177	70124083
AIFM3	150209	22	20967944	20981030
AIG1	51390	6	143060925	143339675
AIM2	9447	1	159062691	159073498
AIMP1	9255	4	106316547	106347691
AIMP2	7965	7	6009363	6023690
AIP	9049	11	67483158	67490992
AIPL1	23746	17	6425459	6435103
AIRE	326	21	44286006	44297726
AJAP1	55966	1	4655425	4774498
AJM1	389813	9	136844414	136847344
AJUBA	84962	14	22973442	22982265
AK1	203	9	127868007	127874616
AK2	204	1	33010828	33036827
AK3	50808	9	4712975	4741086
AK4	205	1	65148407	65226176
AK5	26289	1	77282313	77558669
AK6	102157402	5	69352060	69369674
AK7	122481	14	96392154	96488342
AK8	158067	9	132725687	132878254
AK9	221264	6	109493368	109675744
AKAIN1	642597	18	5145561	5197487
AKAP1	8165	17	57105464	57120323
AKAP10	11216	17	19906226	19977678
AKAP11	11215	13	42286348	42319227
AKAP12	9590	6	151240562	151353739
AKAP13	11214	15	85485720	85744676
AKAP14	158798	X	119903223	119920606
AKAP17A	8227	X	1593462	1601593
AKAP2	11217	9	110048699	110168496
AKAP3	10566	12	4615738	4638195
AKAP4	8852	X	50190959	50200888
AKAP5	9495	14	64468394	64469677
AKAP6	9472	14	32433493	32824772
AKAP7	9465	6	131135763	131281725
AKAP8	10270	19	15354914	15379730
AKAP8L	26993	19	15380121	15418922
AKAP9	10142	7	91941099	92110158
AKIP1	56672	11	8911449	8919479
AKIRIN1	79647	1	38991380	39004054
AKIRIN2	55122	6	87675596	87701683
AKNA	80709	9	114337053	114381332
AKNAD1	254268	1	108816170	108852663
AKR1A1	10327	1	45561794	45569955
AKR1B1	231	7	134442727	134459061
AKR1B10	57016	7	134527911	134541088
AKR1B15	441282	7	134564619	134579548
AKR1C1	1645	10	4963444	4977741
AKR1C2	1646	10	4989995	5003834
AKR1C3	8644	10	5094444	5107502
AKR1C4	1109	10	5196867	5218759
AKR1D1	6718	7	138076518	138116661
AKR1E2	83592	10	4826324	4847529
AKR7A2	8574	1	19304224	19312123
AKR7A3	22977	1	19282730	19288708
AKR7L	246181	1	19267299	19274073
AKT1	207	14	104770340	104792642
AKT1S1	84335	19	49869916	49876654
AKT2	208	19	40233871	40265266
AKT3	10000	1	243499742	243843169
AKTIP	64400	16	53492411	53500258
ALAD	210	9	113388299	113393558
ALAS1	211	3	52199241	52214179
ALAS2	212	X	55009179	55027806
ALB	213	4	73404327	73420297
ALCAM	214	3	105367408	105571938
ALDH16A1	126133	19	49453331	49470466
ALDH18A1	5832	10	95606761	95653376
ALDH1A1	216	9	72901207	72952999
ALDH1A2	8854	15	57955196	58065649
ALDH1A3	220	15	100879907	100914772
ALDH1B1	219	9	38395748	38397301
ALDH1L1	10840	3	126103790	126180967
ALDH1L2	160428	12	105024423	105084435
ALDH2	217	12	111766982	111809574
ALDH3A1	218	17	19738220	19745128
ALDH3A2	224	17	19648971	19675571
ALDH3B1	221	11	68015297	68027938
ALDH3B2	222	11	67663214	67666934
ALDH4A1	8659	1	18872844	18902522
ALDH5A1	7915	6	24494996	24533711
ALDH6A1	4329	14	74060641	74084393
ALDH7A1	501	5	126544964	126595197
ALDH8A1	64577	6	134918414	134950052
ALDH9A1	223	1	165663049	165698557
ALDOA	226	16	30066897	30070211
ALDOB	229	9	101421808	101430886
ALDOC	230	17	28573525	28575531
ALG1	56052	16	5071849	5084880
ALG10	84920	12	34022599	34026914
ALG10B	144245	12	38316893	38323923
ALG11	440138	13	52012418	52028589
ALG12	79087	22	49903837	49913764
ALG13	79868	X	111681218	111759998
ALG14	199857	1	94983075	95072897
ALG1L	200810	3	125929351	125934472
ALG2	85365	9	99217933	99221893
ALG3	10195	3	184242513	184249276
ALG5	29880	13	36949941	36999299
ALG6	29929	1	63370977	63437019
ALG8	79053	11	78100963	78139587
ALG9	79796	11	111786396	111871481
ALK	238	2	29193223	29920658
ALKAL1	389658	8	52538442	52565255
ALKAL2	285016	2	280146	287834
ALKBH1	8846	14	77673811	77708003
ALKBH2	121642	12	109088205	109092785
ALKBH3	221120	11	43882652	43920009
ALKBH4	54784	7	102457393	102464835
ALKBH5	54890	17	18184243	18208395
ALKBH6	84964	19	36009289	36014232
ALKBH7	84266	19	6372820	6374972
ALKBH8	91801	11	107504657	107565631
ALLC	55821	2	3671157	3702562
ALMS1	7840	2	73385868	73609611
ALOX12	239	17	6996117	7010422
ALOX12B	242	17	8072770	8087441
ALOX15	246	17	4631599	4641650
ALOX15B	247	17	8039155	8048564
ALOX5	240	10	45374279	45445686
ALOX5AP	241	13	30713725	30764105
ALOXE3	59344	17	8096626	8118777
ALPG	251	2	232406894	232409871
ALPI	248	2	232456199	232459145
ALPK1	80216	4	112377777	112441209
ALPK2	115701	18	58481822	58611796
ALPK3	57538	15	84816846	84868455
ALPL	249	1	21554081	21577647
ALPP	250	2	232378802	232381794
ALS2	57679	2	201701850	201768884
ALS2CL	259173	3	46670983	46689439
ALS2CR12	130540	2	201288654	201351403
ALX1	8092	12	85280261	85301474
ALX3	257	1	110060732	110070611
ALX4	60529	11	44264853	44310061
ALYREF	10189	17	81888130	81891579
AMACR	23600	5	33988307	34008018
AMBN	258	4	70592358	70606729
AMBP	259	9	114060238	114078208
AMBRA1	55626	11	46397449	46548379
AMD1	262	6	110875105	110893615
AMDHD1	144193	12	95943398	95967842
AMDHD2	51005	16	2520458	2530758
AMELX	265	X	11294788	11300611
AMELY	266	Y	6866072	6872607
AMER1	139285	X	64189878	64193285
AMER2	219287	13	25169603	25171618
AMER3	205147	2	130762072	130764657
AMFR	267	16	56362908	56425326
AMH	268	19	2249332	2251956
AMHR2	269	12	53423934	53431472
AMIGO1	57463	1	109507430	109508911
AMIGO2	347902	12	47077433	47079001
AMIGO3	386724	3	49717950	49719464
AMMECR1	9949	X	110198519	110318070
AMMECR1L	83607	2	127865093	127874233
AMN	81693	14	102922688	102930679
AMN1	196394	12	31672303	31729007
AMOT	154796	X	112778566	112823125
AMOTL1	154810	11	94768511	94870794
AMOTL2	51421	3	134357704	134375299
AMPD1	270	1	114673113	114695569
AMPD2	271	1	109620268	109631151
AMPD3	272	11	10451021	10505883
AMPH	273	7	38384817	38631350
AMT	275	3	49417343	49422449
AMTN	401138	4	70518777	70532464
AMY1A	276	1	103656330	103664519
AMY1B	277	1	103687448	103695638
AMY1C	278	1	103750469	103758657
AMY2A	279	1	103617440	103625745
AMY2B	280	1	103571602	103579499
AMZ1	155185	7	2700451	2712877
AMZ2	51321	17	68250187	68256968
ANAPC1	64682	2	111769290	111880824
ANAPC10	10393	4	144995372	145096098
ANAPC11	51529	17	81894477	81900099
ANAPC13	25847	3	134478589	134482903
ANAPC15	25906	11	72107350	72111275
ANAPC16	119504	10	72223914	72233115
ANAPC2	29882	9	137174941	137188531
ANAPC4	29945	4	25377427	25418381
ANAPC5	51433	12	121308479	121352339
ANAPC7	51434	12	110374143	110403728
ANG	283	14	20693564	20694007
ANGEL1	23357	14	76789227	76812826
ANGEL2	90806	1	212995040	213015670
ANGPT1	284	8	107251854	107497557
ANGPT2	285	8	6503100	6562933
ANGPT4	51378	20	872959	916213
ANGPTL1	9068	1	178851128	178865775
ANGPTL2	23452	9	127088938	127108730
ANGPTL3	27329	1	62597566	62604816
ANGPTL4	51129	19	8364321	8373885
ANGPTL5	253935	11	101891278	101907908
ANGPTL6	83854	19	10092588	10096562
ANGPTL7	10218	1	11189579	11195022
ANGPTL8	55908	19	11239637	11241686
ANHX	647589	12	133218884	133234355
ANK1	286	8	41655726	41896479
ANK2	287	4	112904493	113381470
ANK3	288	10	60042690	60733318
ANKAR	150709	2	189676490	189746626
ANKDD1A	348094	15	64911930	64957187
ANKDD1B	728780	5	75611634	75671039
ANKEF1	63926	20	10038301	10055659
ANKFN1	162282	17	56153509	56482546
ANKFY1	51479	17	4167778	4263940
ANKH	56172	5	14711196	14871446
ANKHD1	54882	5	140401967	140539417
ANKHD1-EIF4EBP3	404734	5	140401967	140549236
ANKIB1	54467	7	92294978	92398948
ANKK1	255239	11	113387884	113400266
ANKLE1	126549	19	17281758	17286551
ANKLE2	23141	12	132727241	132761797
ANKMY1	51281	2	240479608	240560949
ANKMY2	57037	7	16600760	16645572
ANKRA2	57763	5	73552796	73562880
ANKRD1	27063	10	90912865	90921026
ANKRD10	55608	13	110879636	110914933
ANKRD11	29123	16	89268477	89317018
ANKRD12	23253	18	9182432	9281125
ANKRD13A	88455	12	109999688	110037553
ANKRD13B	124930	17	29593621	29613581
ANKRD13C	81573	1	70262716	70354407
ANKRD13D	338692	11	67289460	67302331
ANKRD16	54522	10	5878129	5889353
ANKRD17	26057	4	73076230	73258667
ANKRD18A	253650	9	38572044	38620284
ANKRD2	26287	10	97572707	97583724
ANKRD20A1	84210	9	67859426	67901466
ANKRD20A2	441430	9	40223396	40265464
ANKRD20A3	441425	9	66110773	66152853
ANKRD20A4	728747	9	64369674	64411757
ANKRD22	118932	10	88822940	88851606
ANKRD23	200539	2	96839548	96843991
ANKRD24	170961	19	4186425	4224504
ANKRD26	22852	10	27005589	27100325
ANKRD27	84079	19	32598144	32659014
ANKRD28	23243	3	15670269	15859402
ANKRD29	147463	18	23601225	23662729
ANKRD30A	91074	10	37125955	37231468
ANKRD30B	374860	18	14748419	14852479
ANKRD30BL	554226	2	132148130	132161704
ANKRD31	256006	5	75068518	75236685
ANKRD33	341405	12	51888186	51891339
ANKRD33B	651746	5	10564467	10650112
ANKRD34A	284615	1	145960268	145961758
ANKRD34B	340120	5	80558474	80560018
ANKRD34C	390616	15	79293284	79294891
ANKRD35	148741	1	145867329	145885757
ANKRD36B	57730	2	97507041	97589684
ANKRD37	353322	4	185396923	185400016
ANKRD39	51239	2	96848300	96857986
ANKRD40	91369	17	50695996	50707653
ANKRD40CL	55018	17	50761362	50766912
ANKRD42	338699	11	83194670	83255933
ANKRD44	91526	2	196989590	197310603
ANKRD45	339416	1	173610144	173659417
ANKRD46	157567	8	100510576	100529832
ANKRD49	54851	11	94496693	94498531
ANKRD50	57182	4	124668986	124710510
ANKRD52	283373	12	56243141	56258268
ANKRD53	79998	2	70978645	70985299
ANKRD54	129138	22	37831942	37844237
ANKRD55	79722	5	56100182	56232912
ANKRD6	22881	6	89566976	89631003
ANKRD60	140731	20	58218494	58228652
ANKRD61	100310846	7	6031375	6036385
